Date,Cases,Hospitalizations,Death
2/29/2020,1,11,0
3/1/2020,0,4,0
3/2/2020,0,22,0
3/3/2020,2,20,0
3/4/2020,5,22,0
3/5/2020,3,20,0
3/6/2020,8,18,0
3/7/2020,7,15,0
3/8/2020,21,18,0
3/9/2020,58,49,0
3/10/2020,70,63,0
3/11/2020,155,90,1
3/12/2020,357,92,0
3/13/2020,620,157,0
3/14/2020,644,159,2
3/15/2020,1037,189,5
3/16/2020,2123,317,8
3/17/2020,2455,359,8
3/18/2020,2984,472,21
3/19/2020,3714,559,24
3/20/2020,4015,665,47
3/21/2020,2640,700,44
3/22/2020,2582,725,50
3/23/2020,3571,1037,82
3/24/2020,4507,1153,95
3/25/2020,4865,1303,123
3/26/2020,5051,1454,190
3/27/2020,5128,1392,218
3/28/2020,3477,1364,273
3/29/2020,3560,1406,292
3/30/2020,6131,1717,327
3/31/2020,5473,1695,384
4/1/2020,5464,1587,447
4/2/2020,5768,1618,498
4/3/2020,5676,1601,498
4/4/2020,3869,1344,510
4/5/2020,3794,1328,581
4/6/2020,6378,1724,576
4/7/2020,6065,1605,597
4/8/2020,5585,1541,568
4/9/2020,5074,1429,561
4/10/2020,4521,1336,539
4/11/2020,3733,1097,543
4/12/2020,2889,995,573
4/13/2020,3311,1214,571
4/14/2020,4148,1088,512
4/15/2020,3879,982,454
4/16/2020,3528,883,413
4/17/2020,3581,903,384
4/18/2020,2171,663,392
4/19/2020,2346,593,399
4/20/2020,3793,723,364
4/21/2020,3063,660,323
4/22/2020,3464,598,312
4/23/2020,2844,533,332
4/24/2020,2539,550,316
4/25/2020,1595,403,265
4/26/2020,1003,375,247
4/27/2020,2297,442,271
4/28/2020,2730,442,228
4/29/2020,2342,407,240
4/30/2020,2024,344,222
5/1/2020,1889,348,209
5/2/2020,1060,261,192
5/3/2020,784,255,178
5/4/2020,1550,309,159
5/5/2020,1513,283,151
5/6/2020,1402,257,150
5/7/2020,1235,252,142
5/8/2020,1086,253,131
5/9/2020,658,182,100
5/10/2020,460,153,102
5/11/2020,1233,246,103
5/12/2020,1285,201,91
5/13/2020,1337,223,83
5/14/2020,1113,214,70
5/15/2020,877,230,86
5/16/2020,488,164,83
5/17/2020,360,122,77
5/18/2020,901,175,57
5/19/2020,1006,201,54
5/20/2020,1072,164,81
5/21/2020,1071,172,45
5/22/2020,1061,194,64
5/23/2020,465,129,60
5/24/2020,480,119,49
5/25/2020,468,139,49
5/26/2020,1055,149,37
5/27/2020,753,159,49
5/28/2020,638,139,38
5/29/2020,645,158,43
5/30/2020,349,96,54
5/31/2020,217,90,39
6/1/2020,666,124,34
6/2/2020,575,124,38
6/3/2020,513,115,42
6/4/2020,512,89,32
6/5/2020,408,64,27
6/6/2020,247,47,35
6/7/2020,198,46,24
6/8/2020,446,62,41
6/9/2020,424,50,33
6/10/2020,367,45,31
6/11/2020,357,41,21
6/12/2020,411,54,23
6/13/2020,196,29,14
6/14/2020,186,42,24
6/15/2020,376,48,20
6/16/2020,423,49,19
6/17/2020,352,41,20
6/18/2020,371,39,17
6/19/2020,354,40,17
6/20/2020,204,27,19
6/21/2020,175,33,28
6/22/2020,393,42,25
6/23/2020,377,42,27
6/24/2020,382,37,25
6/25/2020,296,37,19
6/26/2020,313,34,20
6/27/2020,207,37,21
6/28/2020,199,32,19
6/29/2020,439,39,25
6/30/2020,443,37,24
7/1/2020,397,30,12
7/2/2020,413,31,25
7/3/2020,229,24,23
7/4/2020,118,22,14
7/5/2020,152,24,16
7/6/2020,434,42,19
7/7/2020,455,41,13
7/8/2020,437,30,20
7/9/2020,392,41,10
7/10/2020,298,37,10
7/11/2020,230,29,13
7/12/2020,193,18,11
7/13/2020,388,45,17
7/14/2020,301,33,9
7/15/2020,289,23,13
7/16/2020,269,30,10
7/17/2020,283,43,10
7/18/2020,130,25,8
7/19/2020,97,29,4
7/20/2020,230,30,9
7/21/2020,169,21,10
7/22/2020,151,15,2
7/23/2020,49,1,3
7/24/2020,9,0,0
